ModelSEED ID	External ID	Source
cpd00001	C00001	KEGG
cpd00001	C00001_c	iRS1597
cpd00001	C00001_e	iRS1597
cpd00001	C00001_m	iRS1597
cpd00001	C00001_p	iRS1597
cpd00001	C00001_x	iRS1597
cpd00001	C01328	KEGG
cpd00001	H2O	JM_Creinhardtii
cpd00001	H2O_c	JM_Creinhardtii
cpd00001	H2O_m	JM_Creinhardtii
cpd00001	M_C00001_c	iRS1563
cpd00001	M_C00001_m	iRS1563
cpd00001	M_C00001_p	iRS1563
cpd00001	M_C00001_x	iRS1563
cpd00001	M_h2o_b	JP_Creinhardtii_NMeth
cpd00001	M_h2o_c	JP_Creinhardtii_MSB|JP_Creinhardtii_NMeth
cpd00001	M_h2o_e	JP_Creinhardtii_MSB|JP_Creinhardtii_NMeth
cpd00001	M_h2o_f	JP_Creinhardtii_MSB|JP_Creinhardtii_NMeth
cpd00001	M_h2o_g	JP_Creinhardtii_NMeth
cpd00001	M_h2o_h	JP_Creinhardtii_MSB|JP_Creinhardtii_NMeth
cpd00001	M_h2o_m	JP_Creinhardtii_MSB|JP_Creinhardtii_NMeth
cpd00001	M_h2o_n	JP_Creinhardtii_MSB
cpd00001	M_h2o_s	JP_Creinhardtii_MSB
cpd00001	M_h2o_u	JP_Creinhardtii_MSB|JP_Creinhardtii_NMeth
cpd00001	M_h2o_x	JP_Creinhardtii_MSB
cpd00001	OH	AraCyc|CornCyc|EcoCyc|JM_Creinhardtii|MaizeCyc|MetaCyc|PlantCyc|PoplarCyc|RiceCyc|SorghumCyc|SoyCyc
cpd00001	OXONIUM	MetaCyc
cpd00001	S_H2O_c	AlgaGEM|AraGEM|Maize_C4GEM
cpd00001	S_H2O_ext	Maize_C4GEM
cpd00001	S_H2O_ext_b	AlgaGEM|AraGEM
cpd00001	S_H2O_m	AlgaGEM|AraGEM|Maize_C4GEM
cpd00001	S_H2O_p	AlgaGEM|AraGEM|Maize_C4GEM
cpd00001	S_H2O_x	AlgaGEM|AraGEM|Maize_C4GEM
cpd00001	S_n_32_H2O_c	AlgaGEM|Maize_C4GEM
cpd00001	WATER	AraCyc|BrachyCyc|ChlamyCyc|CornCyc|DF_Athaliana|EcoCyc|MaizeCyc|MetaCyc|PlantCyc|PoplarCyc|RiceCyc|SorghumCyc|SoyCyc|iAbaylyiv4
cpd00001	cbs_1	iAG612
cpd00001	cbs_152	iAG612
cpd00001	cll_9	iAO358
cpd00001	h2o	BiGG|BiGG1|iAF1260|iAF692|iGT196|iIN800|iIT341|iJN746|iJR904|iMA945|iMEO21|iMM904|iMO1053-PAO1|iMO1056|iND750|iNJ661|iPS189|iRR1083|iSB619|iSO783|iYO844
cpd00001	met1181_c	TS_Athaliana
cpd00001	met1181_g	TS_Athaliana
cpd00001	met1181_m	TS_Athaliana
cpd00001	met1181_p	TS_Athaliana
cpd00001	met1181_r	TS_Athaliana
cpd00001	met1181_v	TS_Athaliana
cpd00001	met1181_x	TS_Athaliana
cpd00001	oh1	BiGG|BiGG1|iMM904|iND750
