id	abbreviation	name	formula	mass	source	inchikey	charge	is_core	is_obsolete	linked_compound	is_cofactor	deltag	deltagerr	pka	pkb	abstract_compound	comprised_of	aliases	smiles	notes
cpd37000	Seryl-EntF	Seryl-EntF	C17H32N4O10PR2S	10000000.0	Primary Database		1	0	0	null	0	10000000.0	10000000.0	1:12:15.89;1:13:15.37;1:15:12.68;1:28:1.87;1:35:14.76	1:14:-2.01;1:15:-3.81;1:24:7.66;1:34:7.05;1:35:-2.83	null	null	Name: O-[S-(L-seryl)pantetheine-4'-phosphoryl]-L-serine residue; Seryl-EntF|MetaCyc: Seryl-EntF	*[NH2+][C@@H](COP(=O)([O-])OCC(C)(C)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)[C@@H]([NH3+])CO)C(*)=O	GC
cpd37001	RNA-3prime-Uridine-3prime-P	RNA-3prime-Uridine-3prime-P	C9H10N2O12P2R	10000000.0	Primary Database		-3	0	0	null	0	10000000.0	10000000.0	1:6:12.84;1:7:2.73;1:10:0.87;1:12:5.90;1:21:9.70	1:6:-3.81;1:13:-4.29;1:25:-5.40	null	null	Name: RNA-3prime-Uridine-3prime-P|MetaCyc: RNA-3prime-Uridine-3prime-P	*OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	GC
cpd37002	Protein-N-terminal-5-oxo-prolines	Protein-N-terminal-5-oxo-prolines	C7H8N2O3R2	10000000.0	Primary Database		0	0	0	null	0	10000000.0	10000000.0	1:6:10.85;1:9:14.70	1:7:-4.59;1:8:-2.19;1:14:-7.84	null	null	Name: Protein-N-terminal-5-oxo-prolines|MetaCyc: Protein-N-terminal-5-oxo-prolines	*C(=O)[C@H](*)NC(=O)[C@@H]1CCC(=O)N1	GC
cpd37003	L-arginyl-3-sulfo-L-alaninyl-Peptides	L-arginyl-3-sulfo-L-alaninyl-Peptides	C9H19N5O5RS	10000000.0	Primary Database		1	0	0	null	0	10000000.0	10000000.0	1:14:12.11;1:17:-1.37	1:10:8.06;1:12:11.36;1:13:-0.56;1:16:-3.93	null	null	Name: L-arginyl-3-sulfo-L-alaninyl-Peptides|MetaCyc: L-arginyl-3-sulfo-L-alaninyl-Peptides	*C(=O)[C@H](CS(=O)(=O)[O-])NC(=O)[C@@H]([NH3+])CCCNC(N)=[NH2+]	GC
cpd37004	OHyWstar-tRNA	OHyWstar-tRNA	C18H22N6O14P2R2	10000000.0	Primary Database		-2	0	0	null	0	10000000.0	10000000.0	1:25:14.46;1:26:12.58;1:29:0.89;1:30:3.17;1:35:2.22	1:19:8.98;1:20:2.69;1:21:-2.08;1:25:-3.16;1:26:-3.87	null	null	Name: OHyWstar-tRNA|MetaCyc: OHyWstar-tRNA	*OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(=O)n4c(CC(O)[C@H]([NH3+])C(=O)[O-])c(C)nc4n(C)c32)[C@H](O)[C@@H]1OP(=O)([O-])O*	GC
cpd37005	Hydroxy-epoxy-icosatrienoates	Hydroxy-epoxy-icosatrienoates	null	10000000.0	Primary Database		10000000	0	0	null	0	10000000.0	10000000.0			null	null	Name: Hydroxy-epoxy-icosatrienoates|MetaCyc: Hydroxy-epoxy-icosatrienoates		null
cpd37006	Coelenterazine-CBP	Coelenterazine-CBP	C20H36N3OR4	10000000.0	Primary Database		0	0	0	null	0	10000000.0	10000000.0		1:22:-8.72;1:23:-0.20	null	null	Name: Coelenterazine-CBP|MetaCyc: Coelenterazine-CBP	*~N1~C(C*)~C2~N~C(Cc3ccc(*)cc3)~C(=O)~N~2~C~C~1c1ccc(*)cc1	GC
cpd37007	C34-carboxyphthiodiolenone-PpsAE	C34-carboxyphthiodiolenone-PpsAE	C48H88N3O12PR2S	10000000.0	Primary Database		0	0	0	null	0	10000000.0	10000000.0	1:16:16.03;1:17:14.74;1:20:12.52;1:22:1.87;1:59:13.18;1:64:15.59;1:65:15.22	1:15:7.42;1:20:-3.81;1:64:-2.72;1:65:-2.72	null	null	Name: C34-carboxyphthiodiolenone-PpsAE; O-(S-C34-carboxyphthiodiolenoneylpantetheine-4'-phosphoryl)-L-serine residue|MetaCyc: C34-carboxyphthiodiolenone-PpsAE	*[NH2+][C@@H](COP(=O)([O-])OCC(C)(C)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C(C)C(=O)/C(C)=C/CCC[C@@H](O)C[C@H](O)CCCCCCCCCCCCCCCCCCCCC)C(*)=O	GC
cpd37008	4-Hydroxybenzoyl-pks15	4-Hydroxybenzoyl-pks15	C21H30N3O10PR2S	10000000.0	Primary Database		0	0	0	null	0	10000000.0	10000000.0	1:16:15.75;1:17:15.19;1:20:12.68;1:22:1.87;1:36:8.66	1:15:7.39;1:19:-2.01;1:20:-3.81;1:36:-6.04	null	null	Name: 4-Hydroxybenzoyl-pks15; O-[S-(4-hydroxybenzoyl)pantetheine-4'-phosphoryl]-L-serine(1-) residue; O-[S-(4-hydroxybenzyl)pantetheine-4'-phosphoryl]serine residue|MetaCyc: 4-Hydroxybenzoyl-pks15	*[NH2+][C@@H](COP(=O)([O-])OCC(C)(C)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)c1ccc(O)cc1)C(*)=O	GC
cpd37009	Omega-methylthio-alkyl-glucosinolates	Omega-methylthio-alkyl-glucosinolates	C10H18NO9RS3	10000000.0	Primary Database		-1	0	0	null	0	10000000.0	10000000.0	1:12:15.06;1:13:13.33;1:14:14.45;1:15:12.45;1:18:-3.70	1:11:-0.55;1:12:-2.98;1:13:-3.65;1:14:-3.66;1:15:-3.78;1:19:-5.06	null	null	Name: Omega-methylthio-alkyl-glucosinolates|MetaCyc: Omega-methylthio-alkyl-glucosinolates	CS*CC/C(=N/OS(=O)(=O)[O-])S[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	GC
